sequence,correct,origname
flex_473,resfindernewid_2000,blaCTX-M-208_1_MH067958
flex_474,resfindernewid_2007,blaCTX-M-216_1_MH243352
flex_475,resfindernewid_1721,blaOXA-300_1_APPK01000054
flex_476,resfindernewid_2005,blaCTX-M-213_1_MH094805
flex_477,resfindernewid_885,blaOXA-29_1_AJ400619
flex_478,resfindernewid_2399,erm(A)_2_AF002716
flex_479,resfindernewid_1720,blaOXA-317_1_KF057034
flex_480,resfindernewid_1906,blaIMP-66_1_LC190726
flex_481,resfindernewid_2393,vanXmurFvanWI_1_CP001336
flex_482,resfindernewid_1727,blaOXA-282_1_APQS01000019
flex_483,resfindernewid_2391,VanNXY_1_JF802084
flex_484,resfindernewid_2390,VanHMX_1_FJ349556
flex_485,resfindernewid_2397,ere(D)_1_KP265721
flex_486,resfindernewid_2396,ere(A)_6_DQ157752
flex_487,resfindernewid_2395,vanXmurFvanKWI_2_AP008230
flex_488,resfindernewid_1726,blaOXA-281_1_APON01000041
flex_489,resfindernewid_2487,ere(A)_1_AY183453
flex_490,resfindernewid_2486,ere(A)_4_AF512546
flex_491,resfindernewid_2485,ere(A)_3_AF326209
flex_492,resfindernewid_2484,ere(A)_2_AF099140
flex_493,resfindernewid_2483,vga(B)_1_U82085
flex_494,resfindernewid_1725,blaOXA-280_1_APPZ01000001
flex_495,resfindernewid_2481,vga(A)LC_3_FN806791
flex_496,resfindernewid_2480,vga(A)_2_FN546261
flex_497,resfindernewid_1724,blaOXA-305_1_APPF01000021
flex_498,resfindernewid_2489,vgb(A)_1_M20129
flex_499,resfindernewid_2488,ere(B)_2_X03988
flex_500,resfindernewid_2506,vat(E)_9_AY043210
flex_501,resfindernewid_1459,blaACI-1_1_AJ007350
flex_502,resfindernewid_1458,blaTUS-1_1_AF441287
flex_503,resfindernewid_1455,blaMUS-1_1_AF441286
flex_504,resfindernewid_1454,blaJOHN-1_1_AY028464
flex_505,resfindernewid_1457,blaEBR-1_1_AF416700
flex_506,resfindernewid_1456,blaCGB-1_1_EF672680
flex_507,resfindernewid_1451,blaBIC-1_1_GQ260093
flex_508,resfindernewid_1450,blaAER-1_1_U14748
flex_509,resfindernewid_1453,blaPME-1_1_HQ541434
flex_510,resfindernewid_1452,blaERP-1_1_AY077733
flex_511,resfindernewid_2365,VanC2_1_L29638
flex_512,resfindernewid_1929,blaKPC-12_1_HQ641422
flex_513,resfindernewid_1928,blaKPC-13_1_HQ342889
flex_514,resfindernewid_1925,blaNDM-22_1_MH243357
flex_515,resfindernewid_1924,blaVIM-56_1_MG834535
flex_516,resfindernewid_1927,blaNDM-24_1_MH450215
flex_517,resfindernewid_1926,blaNDM-23_1_MH450214
flex_518,resfindernewid_1921,blaIMP-74_1_MH243349
flex_519,resfindernewid_1920,blaIMP-73_1_MH021848
flex_520,resfindernewid_1923,blaVIM-57_1_MH450217
flex_521,resfindernewid_1922,blaIMP-75_1_MH243350
flex_522,resfindernewid_1859,blaZ_120_NZ_ALWG01000005
flex_523,resfindernewid_1858,blaZ_119_NZ_CANQ01000029
flex_524,resfindernewid_1851,blaZ_112_AKGL01000044
flex_525,resfindernewid_1850,blaZ_111_AJCN01000010
flex_526,resfindernewid_1853,blaZ_114_NC_013379
flex_527,resfindernewid_1852,blaZ_113_AHVS01000008
flex_528,resfindernewid_1855,blaZ_116_NC_013348
flex_529,resfindernewid_1854,blaZ_115_FN433596
flex_530,resfindernewid_1857,blaZ_118_NC_004461
flex_531,resfindernewid_1856,blaZ_117_ACHE01000004
flex_532,resfindernewid_3079,dfrA17_10_AM937244
flex_533,resfindernewid_2450,erm(31)_1_AF079138
flex_534,resfindernewid_2451,erm(32)_1_AJ009971
flex_535,resfindernewid_860,blaOXA-2_1_DQ112222
flex_536,resfindernewid_1631,blaGES-20_1_JN596280
flex_537,resfindernewid_1630,blaGES-19_1_JN596280
flex_538,resfindernewid_1633,blaGES-22_1_JX023441
flex_539,resfindernewid_861,blaOXA-3_1_L07945
flex_540,resfindernewid_1635,blaIMI-1_1_U50278
flex_541,resfindernewid_1634,blaGES-23_1_KF179354
flex_542,resfindernewid_1637,blaIMI-3_1_GU015024
flex_543,resfindernewid_1636,blaIMI-2_1_DQ173429
flex_544,resfindernewid_1639,blaSME-1_1_Z28968
flex_545,resfindernewid_1638,blaSFC-1_1_AY354402
flex_546,resfindernewid_2455,erm(38)_1_AY154657
flex_547,resfindernewid_2456,erm(39)_1_AY487229
flex_548,resfindernewid_2457,erm(40)_1_AY570506
flex_549,resfindernewid_2458,erm(41)_1_EU177504
flex_550,resfindernewid_2459,erm(42)_1_FR734406
flex_551,resfindernewid_30,ant(6)-Ia_5_AB247327
flex_552,resfindernewid_1705,blaOXA-557_1_KY126232
flex_553,resfindernewid_1704,blaOXA-556_1_KY126231
flex_554,resfindernewid_1707,blaOXA-559_1_KY126237
flex_555,resfindernewid_869,blaOXA-14_1_KJ420612
flex_556,resfindernewid_1701,blaOXA-553_1_KY682755
flex_557,resfindernewid_1700,blaOXA-552_1_KY682754
flex_558,resfindernewid_1703,blaOXA-555_1_KY126224
flex_559,resfindernewid_1702,blaOXA-554_1_KY126221
flex_560,resfindernewid_1709,blaOXA-561_1_KY126240
flex_561,resfindernewid_1708,blaOXA-560_1_KY126238
flex_562,resfindernewid_2605,cfr(B)_3_KR610408
flex_563,resfindernewid_2740,qnrVC1_1_EU436855
flex_564,resfindernewid_2884,tet(E)_2_L06940
flex_565,resfindernewid_2741,qnrVC3_1_HM015626
flex_566,resfindernewid_2742,qnrVC4_1_GQ891757
flex_567,resfindernewid_3045,dfrA15_1_AF156486
flex_568,resfindernewid_1149,blaRAHN-1_1_GU645205
flex_569,resfindernewid_1148,blaPER-7_1_HQ713678
flex_570,resfindernewid_1147,blaPER-6_1_GQ396303
flex_571,resfindernewid_1146,blaPER-5_1_FJ627180
flex_572,resfindernewid_1145,blaPER-4_1_EU748544
flex_573,resfindernewid_1144,blaPER-3_1_AY740681
flex_574,resfindernewid_1143,blaPER-2_1_X93314
flex_575,resfindernewid_1142,blaPER-1_1_GU944725
flex_576,resfindernewid_1141,blaPAO_4_AY083592
flex_577,resfindernewid_1140,blaPAO_3_FJ666073
flex_578,resfindernewid_3047,dfrA15_3_DQ647028
flex_579,resfindernewid_2434,erm(O)_1_M74717
flex_580,resfindernewid_2946,tet(W)_4_FN396364
flex_581,resfindernewid_2947,tet(W)_5_AJ427422
flex_582,resfindernewid_2944,tet(W)_2_AY049983
flex_583,resfindernewid_2945,tet(W)_3_AJ427421
flex_584,resfindernewid_2942,tet(X)_3_AB097942
flex_585,resfindernewid_2943,tet(W)_1_DQ060146
flex_586,resfindernewid_2940,tet(X)_1_GU014535
flex_587,resfindernewid_2941,tet(X)_2_M37699
flex_588,resfindernewid_2948,tet(V)_1_AF030344
flex_589,resfindernewid_2949,tetB(P)_1_NC_010937
flex_590,resfindernewid_516,blaCMY-8_1_AB201268
flex_591,resfindernewid_517,blaCMY-9_1_AB061794
flex_592,resfindernewid_514,blaCMY-6_1_AJ011293
flex_593,resfindernewid_515,blaCMY-7_1_DQ173300
flex_594,resfindernewid_512,blaCMY-2_1_X91840
flex_595,resfindernewid_513,blaCMY-5_1_Y17716
flex_596,resfindernewid_510,cepA-29_1_U05884
flex_597,resfindernewid_511,blaCMY-1_1_X92508
flex_598,resfindernewid_518,blaCMY-12_1_Y16785
flex_599,resfindernewid_519,blaCMY-13_1_AY339625
flex_600,resfindernewid_2746,qnrC_1_EU917444
flex_601,resfindernewid_3041,dfrA12_10_FM877486
flex_602,resfindernewid_2838,tet(53)_1_KR857687
flex_603,resfindernewid_2839,tet(54)_1_KR857688
flex_604,resfindernewid_2432,erm(H)_1_M16503
flex_605,resfindernewid_2832,tet(47)_1_KR857681
flex_606,resfindernewid_2833,tet(48)_1_KR857682
flex_607,resfindernewid_2830,sul4_1_MG649393
flex_608,resfindernewid_2831,tet_1_M74049
flex_609,resfindernewid_2836,tet(51)_1_KR857685
flex_610,resfindernewid_2837,tet(52)_1_KR857686
flex_611,resfindernewid_2834,tet(49)_1_KR857683
flex_612,resfindernewid_2835,tet(50)_1_KR857684
flex_613,resfindernewid_2433,erm(N)_1_X97721
flex_614,resfindernewid_3043,dfrA14_3_Z50804
flex_615,resfindernewid_2430,erm(G)_1_M15332
flex_616,resfindernewid_358,blaOXA-459_1_KP903889
flex_617,resfindernewid_359,blaOXA-460_1_KR061508
flex_618,resfindernewid_428,blaOXA-427_1_KX827604
flex_619,resfindernewid_429,blaNDM-17_1_KX812714
flex_620,resfindernewid_350,blaOXA-450_1_KR061502
flex_621,resfindernewid_351,blaOXA-451_1_KR061504
flex_622,resfindernewid_420,blaOXA-535_1_KX828709
flex_623,resfindernewid_421,blaOXA-536_1_KX859240
flex_624,resfindernewid_426,blaOXA-541_1_FM179467
flex_625,resfindernewid_427,blaIMP-58_1_KU647281
flex_626,resfindernewid_356,blaOXA-457_1_KP903887
flex_627,resfindernewid_357,blaOXA-458_1_KP903888
flex_628,resfindernewid_2431,erm(G)_2_L42817
flex_629,resfindernewid_2164,blaTEM-231_1_MG821378
flex_630,resfindernewid_2165,blaTEM-232_1_MH079593
flex_631,resfindernewid_2166,blaTEM-233_1_MH270416
flex_632,resfindernewid_2167,blaTEM-234_1_MH243353
flex_633,resfindernewid_2160,blaTEM-226_1_KY646301
flex_634,resfindernewid_2161,blaTEM-227_1_KY418040
flex_635,resfindernewid_2162,blaTEM-229_1_MG821356
flex_636,resfindernewid_2163,blaTEM-230_1_MG821377
flex_637,resfindernewid_2168,blaSHV-1_1_AF148850
flex_638,resfindernewid_2169,blaSHV-2_1_AF148851
flex_639,resfindernewid_2762,qepA3_1_JQ064560
flex_640,resfindernewid_2763,qepA4_1_KX580704
flex_641,resfindernewid_2760,qepA1_1_AB263754
flex_642,resfindernewid_2761,qepA2_1_EU847537
flex_643,resfindernewid_228,npmA_1_AB261016
flex_644,resfindernewid_229,rmtA_1_AB120321
flex_645,resfindernewid_738,blaHERA-2_1_AF398334
flex_646,resfindernewid_739,blaHERA-3_1_AF398335
flex_647,resfindernewid_736,blaGOB-18_1_DQ004496
flex_648,resfindernewid_737,blaHERA-1_1_AF311385
flex_649,resfindernewid_226,rmtH_1_KC544262
flex_650,resfindernewid_735,blaGOB-17_1_AY899332
flex_651,resfindernewid_732,blaGOB-15_1_AY775547
flex_652,resfindernewid_733,blaGOB-16_1_GU188443
flex_653,resfindernewid_730,blaGOB-13_1_AY647251
flex_654,resfindernewid_731,blaGOB-14_1_AY647252
flex_655,resfindernewid_1882,blaVIM-41_1_KP771862
flex_656,resfindernewid_1883,blaVIM-40_1_HG934765
flex_657,resfindernewid_1917,blaIMP-13_1_AJ550807
flex_658,resfindernewid_1880,blaVIM-43_1_KP096412
flex_659,resfindernewid_2018,blaCTX-M-141_1_KC964871
flex_660,resfindernewid_2019,blaCTX-M-144_1_KJ020573
flex_661,resfindernewid_2548,erm(33)_1_AJ579365
flex_662,resfindernewid_1881,blaVIM-42_1_KP071470
flex_663,resfindernewid_3017,dfrA1_3_GU726913
flex_664,resfindernewid_3016,dfrA1_2_HM055363
flex_665,resfindernewid_3015,dfrA1_1_FJ591049
flex_666,resfindernewid_3014,dfrB8_1_GU295656
flex_667,resfindernewid_2010,blaCTX-M-219_1_CP019080
flex_668,resfindernewid_1886,blaVIM-52_1_KX349731
flex_669,resfindernewid_2012,blaCTX-M-7_1_AJ005045
flex_670,resfindernewid_2013,blaCTX-M-73_1_DQ343292
flex_671,resfindernewid_2014,blaCTX-M-122_1_JN790863
flex_672,resfindernewid_2015,blaCTX-M-127_1_MF196229
flex_673,resfindernewid_2016,blaCTX-M-137_1_KF790923
flex_674,resfindernewid_1887,blaVIM-51_1_KU746270
flex_675,resfindernewid_2388,VanG2XY_1_FJ872410
flex_676,resfindernewid_422,blaOXA-537_1_KX360747
flex_677,resfindernewid_966,blaOXA-116_1_EU220744
flex_678,resfindernewid_423,blaOXA-538_1_KX827284
flex_679,resfindernewid_2380,VanHDX_4_AY082011
flex_680,resfindernewid_2381,VanHDX_5_AY489045
flex_681,resfindernewid_2382,VanHDX_1_AF130997
flex_682,resfindernewid_1885,blaVIM-54_1_KY508061
flex_683,resfindernewid_2384,VanHFX_1_AF155139
flex_684,resfindernewid_352,blaOXA-452_1_KR061505
flex_685,resfindernewid_2386,VanEXY_1_FJ872411
flex_686,resfindernewid_2387,VanGXY_1_AY271782
flex_687,resfindernewid_642,blaCTX-M-72_1_AY847148
flex_688,resfindernewid_643,blaCTX-M-74_1_GQ149243
flex_689,resfindernewid_640,blaCTX-M-69_1_EU402393
flex_690,resfindernewid_641,blaCTX-M-71_1_FJ815436
flex_691,resfindernewid_646,blaCTX-M-77_1_AM982521
flex_692,resfindernewid_647,blaCTX-M-78_1_AM982522
flex_693,resfindernewid_644,blaCTX-M-75_1_GQ149244
flex_694,resfindernewid_645,blaCTX-M-76_1_AM982520
flex_695,resfindernewid_354,blaOXA-454_1_LC037981
flex_696,resfindernewid_648,blaCTX-M-80_1_EU202673
flex_697,resfindernewid_649,blaCTX-M-81_1_EU136031
flex_698,resfindernewid_2498,vat(A)_1_L07778
flex_699,resfindernewid_2499,vat(B)_1_U19459
flex_700,resfindernewid_355,blaOXA-455_1_KP903885
flex_701,resfindernewid_424,blaOXA-539_1_KY094077
flex_702,resfindernewid_2620,cat_2_M35190
flex_703,resfindernewid_425,blaOXA-540_1_KJ138219
flex_704,resfindernewid_2507,vat(E)_10_AY043212
flex_705,resfindernewid_1250,blaSHV-149_1_JX121116
flex_706,resfindernewid_1442,blaSIM-1_1_JF731030
flex_707,resfindernewid_1443,blaGIM-1_1_JF414726
flex_708,resfindernewid_1440,blaKHM-1_1_AB364006
flex_709,resfindernewid_1441,blaCEPH-A3_1_AY112998
flex_710,resfindernewid_1446,blaSFO-1_1_AB003148
flex_711,resfindernewid_1447,blaTLA-1_1_AF148067
flex_712,resfindernewid_1444,blaSPM-1_1_AY341249
flex_713,resfindernewid_1445,blaBES-1_1_AF234999
flex_714,resfindernewid_2668,qnrB10_2_HM439644
flex_715,resfindernewid_1448,hugA_1_AF324468
flex_716,resfindernewid_1449,blaDIM-1_1_GU323019
flex_717,resfindernewid_2504,vat(E)_7_AY043211
flex_718,resfindernewid_1848,blaZ_109_AOAS01000022
flex_719,resfindernewid_1849,blaZ_110_AJCZ01000013
flex_720,resfindernewid_1846,blaZ_41_AENR01000015
flex_721,resfindernewid_1847,blaZ_86_AIZE01000023
flex_722,resfindernewid_1844,blaZ_107_FQDM01000011
flex_723,resfindernewid_1845,blaZ_108_FQPO01000005
flex_724,resfindernewid_1842,blaZ_105_FQJS01000007
flex_725,resfindernewid_1843,blaZ_106_FQHX01000011
flex_726,resfindernewid_1840,blaZ_103_FQSJ01000009
flex_727,resfindernewid_1841,blaZ_104_FQHI01000006
flex_728,resfindernewid_2797,sul1_27_GU562437
flex_729,resfindernewid_2796,sul1_26_AY524415
flex_730,resfindernewid_2795,sul1_25_AY878717
flex_731,resfindernewid_2505,vat(E)_8_AY043209
flex_732,resfindernewid_2794,sul1_24_EU117158
flex_733,resfindernewid_2241,blaCARB-40_1_BK008889
flex_734,resfindernewid_2792,sul1_22_AY115475
flex_735,resfindernewid_1626,blaGES-15_1_GU208678
flex_736,resfindernewid_1627,blaGES-16_1_HM173356
flex_737,resfindernewid_1624,blaGES-13_1_GU169702
flex_738,resfindernewid_1625,blaGES-14_1_GU207844
flex_739,resfindernewid_1622,blaGES-11_1_FJ854362
flex_740,resfindernewid_1623,blaGES-12_1_FN554543
flex_741,resfindernewid_1620,blaGES-9_1_AY920928
flex_742,resfindernewid_1621,blaGES-10_1_FJ820124
flex_743,resfindernewid_2790,sul1_20_JF262165
flex_744,resfindernewid_2502,vat(E)_3_AF153312
flex_745,resfindernewid_1628,blaGES-17_1_HQ874631
flex_746,resfindernewid_1629,blaGES-18_1_JQ028729
flex_747,resfindernewid_1932,blaKPC-19_1_KJ775801
flex_748,resfindernewid_1933,blaKPC-18_1_KT884517
flex_749,resfindernewid_1930,blaKPC-22_1_KM379100
flex_750,resfindernewid_1931,blaKPC-21_1_LN609376
flex_751,resfindernewid_1936,blaKPC-29_1_KY563764
flex_752,resfindernewid_1937,blaKPC-28_1_KY282958
flex_753,resfindernewid_1934,blaKPC-17_1_KC465200
flex_754,resfindernewid_1935,blaKPC-30_1_KY646302
flex_755,resfindernewid_1938,blaKPC-27_1_KX828722
flex_756,resfindernewid_1939,blaKPC-26_1_KX619622
flex_757,resfindernewid_2503,vat(E)_5_AJ488494
flex_758,resfindernewid_1718,blaOXA-315_1_KF057032
flex_759,resfindernewid_1719,blaOXA-316_1_KF057033
flex_760,resfindernewid_1712,blaOXA-564_1_KY767022
flex_761,resfindernewid_1713,blaOXA-565_1_KY883665
flex_762,resfindernewid_1710,blaOXA-562_1_KY126241
flex_763,resfindernewid_1711,blaOXA-563_1_KY767021
flex_764,resfindernewid_1716,blaOXA-313_1_KF057030
flex_765,resfindernewid_1717,blaOXA-314_1_KF057031
flex_766,resfindernewid_1714,blaOXA-566_1_MF099636
flex_767,resfindernewid_1715,blaOXA-312_1_KF057029
flex_768,resfindernewid_2500,vat(C)_1_AF015628
flex_769,resfindernewid_3068,dfrB4_3_HQ317921
flex_770,resfindernewid_2501,vat(D)_1_L12033
flex_771,resfindernewid_3069,dfrD_1_Z50141
flex_772,resfindernewid_2766,qnrE1_1_KY073238
flex_773,resfindernewid_2767,crpP_1_HM560971
flex_774,resfindernewid_2764,oqxA_1_EU370913
flex_775,resfindernewid_2765,oqxB_1_EU370913
flex_776,resfindernewid_224,rmtF_1_JQ808129
flex_777,resfindernewid_1158,blaSHV-13_1_AF164577
flex_778,resfindernewid_1159,blaSHV-14_1_AF226622
flex_779,resfindernewid_225,rmtG_1_JX486113
flex_780,resfindernewid_1154,blaSHV-2a_1_X98102
flex_781,resfindernewid_1155,blaSHV-5_1_X55640
flex_782,resfindernewid_1156,blaSHV-7_1_U20270
flex_783,resfindernewid_1157,blaSHV-8_1_U92041
flex_784,resfindernewid_1150,blaRAHN-1_2_AF338038
flex_785,resfindernewid_1151,blaRAHN-2_2_HM114350
flex_786,resfindernewid_1152,blaROB-1_1_DQ840517
flex_787,resfindernewid_1153,blaROB-1_2_AF022114
flex_788,resfindernewid_227,armA_1_AY220558
flex_789,resfindernewid_220,aph(6)-Ic_1_X01702
flex_790,resfindernewid_221,aph(9)-Ia_1_U94857
flex_791,resfindernewid_222,aph(9)-Ib_1_U70376
flex_792,resfindernewid_223,rmtB2_1_JN968578
flex_793,resfindernewid_2750,qnrS1_1_AB187515
flex_794,resfindernewid_2496,lnu(F)_2_DQ836009
flex_795,resfindernewid_3055,dfrA29_1_AM237806
flex_796,resfindernewid_2719,qnrB60_1_AB734055
flex_797,resfindernewid_505,cepA_1_L13472
flex_798,resfindernewid_504,blaBEL-3_1_GQ202694
flex_799,resfindernewid_507,cepA_6_FR688022
flex_800,resfindernewid_506,cepA_1_U05887
flex_801,resfindernewid_501,blaACT-16_1_AB737978
flex_802,resfindernewid_500,blaACT-15_1_JX440356
flex_803,resfindernewid_503,blaBEL-2_1_FJ666063
flex_804,resfindernewid_502,blaBEL-1_1_DQ089809
flex_805,resfindernewid_509,cepA-44_1_U05885
flex_806,resfindernewid_508,cepA-49_1_U05886
flex_807,resfindernewid_2718,qnrB59_1_JX259320
flex_808,resfindernewid_2423,erm(D)_1_M29832
flex_809,resfindernewid_211,aph(3')-VIa_1_X07753
flex_810,resfindernewid_2849,tet(31)_2_AJ250203
flex_811,resfindernewid_2848,tet(31)_1_GQ283908
flex_812,resfindernewid_2756,qnrS7_1_KF730651
flex_813,resfindernewid_2846,tet(32)_1_EU722333
flex_814,resfindernewid_2845,tet(33)_2_DQ390458
flex_815,resfindernewid_2844,tet(33)_1_AY255627
flex_816,resfindernewid_2843,tet(39)_1_KT346360
flex_817,resfindernewid_2842,otr(B)_1_AF079900
flex_818,resfindernewid_2841,tet(O/32/O)_4_AIOQ01000025
flex_819,resfindernewid_2840,tet(55)_1_KR857689
flex_820,resfindernewid_2422,erm(C)_16_AF019140
flex_821,resfindernewid_2614,catB9_1_AF462019
flex_822,resfindernewid_3013,dfrB7_1_DQ993182
flex_823,resfindernewid_2755,qnrS6_1_HQ631376
flex_824,resfindernewid_3012,dfrB6_1_DQ274503
flex_825,resfindernewid_3011,dfrB5_1_AY943084
flex_826,resfindernewid_2549,ere(A)_5_FN396877
flex_827,resfindernewid_213,aph(3')-VIIa_1_M29953
flex_828,resfindernewid_2615,catB10_1_AJ878850
flex_829,resfindernewid_2860,tet(41)_1_AY264780
flex_830,resfindernewid_439,blaOXA-289_1_APRM01000005
flex_831,resfindernewid_438,blaOXA-287_1_NG_050609
flex_832,resfindernewid_1900,blaIMP-52_1_LC055762
flex_833,resfindernewid_2888,tet(C)_1_NC_003123
flex_834,resfindernewid_349,blaOXA-444_1_CP010800
flex_835,resfindernewid_348,blaOXA-443_1_LC030178
flex_836,resfindernewid_347,blaOXA-442_1_KP844571
flex_837,resfindernewid_346,blaOXA-441_1_JX865394
flex_838,resfindernewid_345,blaOXA-440_1_KP727574
flex_839,resfindernewid_344,blaOXA-439_1_KP727573
flex_840,resfindernewid_343,blaOXA-438_1_KP410734
flex_841,resfindernewid_342,blaOXA-437_1_KP410856
flex_842,resfindernewid_341,blaOXA-436_1_KT959105
flex_843,resfindernewid_340,blaOXA-435_1_KP144324
flex_844,resfindernewid_2541,mef(A)_2_U83667
flex_845,resfindernewid_2546,sal(A)_1_KC693025
flex_846,resfindernewid_2547,erm(45)_1_LN680996
flex_847,resfindernewid_1907,blaIMP-63_1_KX821663
flex_848,resfindernewid_2158,blaTEM-224_1_KU664545
flex_849,resfindernewid_2629,cml_1_M22614
flex_850,resfindernewid_2628,cmlA1_2_AB212941
flex_851,resfindernewid_2544,ere(B)_1_A15097
flex_852,resfindernewid_2882,tet(G)_3_S52437
flex_853,resfindernewid_2151,blaTEM-213_1_LJEE02000034
flex_854,resfindernewid_2150,blaTEM-212_1_KF481968
flex_855,resfindernewid_2153,blaTEM-215_1_KP050492
flex_856,resfindernewid_2017,blaCTX-M-138_1_KF526119
flex_857,resfindernewid_2155,blaTEM-217_1_HG934763
flex_858,resfindernewid_2154,blaTEM-216_1_KF944358
flex_859,resfindernewid_2157,blaTEM-220_1_KM998962
flex_860,resfindernewid_2156,blaTEM-219_1_KM114268
flex_861,resfindernewid_2717,qnrB58_1_JX259319
flex_862,resfindernewid_2421,erm(C)_15_U82607
flex_863,resfindernewid_2715,qnrB56_1_JX259317
flex_864,resfindernewid_2714,qnrB55_1_KF730650
flex_865,resfindernewid_729,blaGOB-12_1_AY647249
flex_866,resfindernewid_728,blaGOB-11_1_AY647248
flex_867,resfindernewid_2711,qnrB52_1_EF488762
flex_868,resfindernewid_2389,VanLXY_1_EU250284
flex_869,resfindernewid_725,blaGOB-8_1_AY348327
flex_870,resfindernewid_724,blaGOB-7_1_AF189297
flex_871,resfindernewid_727,blaGOB-10_1_AY647247
flex_872,resfindernewid_726,blaGOB-9_1_AY647246
flex_873,resfindernewid_721,blaGOB-4_1_AF189293
flex_874,resfindernewid_720,blaGOB-3_1_AF189291
flex_875,resfindernewid_723,blaGOB-6_1_AF189292
flex_876,resfindernewid_722,blaGOB-5_1_AF189290
flex_877,resfindernewid_233,rmtD2_1_HQ401565
flex_878,resfindernewid_232,rmtD_1_DQ914960
flex_879,resfindernewid_231,rmtC_1_AB194779
flex_880,resfindernewid_230,rmtB_1_AB103506
flex_881,resfindernewid_237,aac(6')-Ib-cr_2_EF636461
flex_882,resfindernewid_236,aac(6')-Ib-cr_1_DQ303918
flex_883,resfindernewid_235,ant(9)-Ia_1_X02588
flex_884,resfindernewid_234,rmtE_1_GU201947
flex_885,resfindernewid_2556,erm(37)_1_AL123456
flex_886,resfindernewid_239,aph(3'')-Ib_5_AF321551
flex_887,resfindernewid_238,aph(3'')-Ib_2_AF024602
flex_888,resfindernewid_3000,dfrA3_1_J03306
flex_889,resfindernewid_3001,dfrA5_1_X12868
flex_890,resfindernewid_3002,dfrA8_1_U10186
flex_891,resfindernewid_3003,dfrA9_1_X57730
flex_892,resfindernewid_2029,blaCTX-M-37_1_AY649755
flex_893,resfindernewid_2028,blaCTX-M-52_1_DQ223685
flex_894,resfindernewid_2539,lnu(G)_1_KX470419
flex_895,resfindernewid_2538,mph(G)_1_AB571865
flex_896,resfindernewid_2025,blaCTX-M-59_1_DQ408762
flex_897,resfindernewid_2024,blaCTX-M-79_1_EF426798
flex_898,resfindernewid_2027,blaCTX-M-55_1_DQ810789
flex_899,resfindernewid_2026,blaCTX-M-65_1_EF418608
flex_900,resfindernewid_2021,blaCTX-M-2_1_AB176535
flex_901,resfindernewid_2020,blaCTX-M-146_1_KY938173
flex_902,resfindernewid_2023,blaCTX-M-3_1_Y10278
flex_903,resfindernewid_2022,blaCTX-M-5_1_U95364
flex_904,resfindernewid_2429,erm(F)_4_M62487
flex_905,resfindernewid_2428,erm(F)_3_M17808
flex_906,resfindernewid_651,blaCTX-M-83_1_FJ214366
flex_907,resfindernewid_650,blaCTX-M-82_1_DQ256091
flex_908,resfindernewid_653,blaCTX-M-85_1_FJ214368
flex_909,resfindernewid_652,blaCTX-M-84_1_FJ214367
flex_910,resfindernewid_655,blaCTX-M-87_1_EU545409
flex_911,resfindernewid_654,blaCTX-M-86_1_FJ214369
flex_912,resfindernewid_657,blaCTX-M-89_1_FJ971899
flex_913,resfindernewid_656,blaCTX-M-88_1_FJ873739
flex_914,resfindernewid_659,blaCTX-M-91_1_GQ870432
flex_915,resfindernewid_658,blaCTX-M-90_1_FJ907381
flex_916,resfindernewid_1904,blaIMP-45_1_EU352796
flex_917,resfindernewid_2385,VanE_1_AF136925
flex_918,resfindernewid_2552,erm(B)_23_X72021
flex_919,resfindernewid_29,aph(3')-IX_1_APPN01000061
flex_920,resfindernewid_28,aph(3')-VI_2_APPJ01000012
flex_921,resfindernewid_2441,erm(T)_4_AJ488494
flex_922,resfindernewid_2440,erm(T)_3_AF310974
flex_923,resfindernewid_2447,erm(Y)_1_AB014481
flex_924,resfindernewid_2446,erm(X)_4_NC_005206
flex_925,resfindernewid_2445,erm(X)_3_U21300
flex_926,resfindernewid_2444,erm(X)_2_X51472
flex_927,resfindernewid_21,kamB_1_AJ629123
flex_928,resfindernewid_20,aac(2')-IIa_1_AB669090
flex_929,resfindernewid_23,fmrO_1_Q08325
flex_930,resfindernewid_22,grmO_1_AY524043
flex_931,resfindernewid_25,grmA_1_M55520
flex_932,resfindernewid_24,grmB_1_M55521
flex_933,resfindernewid_27,sgm_1_M87057
flex_934,resfindernewid_26,kgmB_1_S60108
flex_935,resfindernewid_1437,blaLCR-1_1_X56809
flex_936,resfindernewid_1436,blaNPS_1_AY027589
flex_937,resfindernewid_1435,blaLAT-1_1_X78117
flex_938,resfindernewid_1434,blaCFE-1_1_AB107899
flex_939,resfindernewid_1433,POM-1_1_GU002295
flex_940,resfindernewid_1432,blaSMB-1_1_AB636283
flex_941,resfindernewid_1431,ampH_2_HQ586946
flex_942,resfindernewid_1430,ampH_1_AJ276031
flex_943,resfindernewid_2490,vgb(B)_1_AF015628
flex_944,resfindernewid_1439,blaFAR-1_1_AF024601
flex_945,resfindernewid_1438,blaNMC-A_1_AJ536087
flex_946,resfindernewid_2492,lnu(B)_1_AJ238249
flex_947,resfindernewid_2493,lnu(C)_1_AY928180
flex_948,resfindernewid_1895,blaIMP-17_1_AJ512502
flex_949,resfindernewid_1894,blaIMP-21_1_AB204557
flex_950,resfindernewid_1549,blaIMP-27_1_JF894248
flex_951,resfindernewid_1548,blaIMP-26_1_GU045307
flex_952,resfindernewid_1891,blaVIM-47_1_KT954134
